Enfermedad,Precaucion_1,Precaucion_2,Precaucion_3,Precaucion_4
Reacción a medicamentos,detener la irritación,consultar al hospital más cercano,suspender el medicamento,realizar seguimiento médico
Malaria,consultar al hospital más cercano,evitar alimentos grasosos,evitar alimentos de origen animal,evitar la entrada de mosquitos
Alergia,aplicar calamina,cubrir la zona con vendaje,,aplicar hielo para aliviar la picazón
Hipotiroidismo,reducir el estrés,hacer ejercicio,alimentarse saludablemente,dormir adecuadamente
Psoriasis,lavarse las manos con agua tibia y jabón,detener el sangrado aplicando presión,consultar a un médico,tomar baños con sal
Enfermedad por reflujo gastroesofágico,evitar alimentos grasos y picantes,evitar acostarse después de comer,mantener un peso saludable,hacer ejercicio
Colestasis crónica,tomar baños fríos,usar medicamento contra la picazón,consultar a un médico,alimentarse saludablemente
Hepatitis A,consultar al hospital más cercano,lavarse bien las manos,evitar alimentos grasos y picantes,seguir medicación indicada
Osteoartritis,tomar paracetamol,consultar al hospital más cercano,realizar seguimiento médico,tomar baños con sal
Vértigo posicional paroxístico,recostarse,evitar cambios corporales repentinos,evitar movimientos bruscos de la cabeza,relajarse
Hipoglucemia,recostarse de lado,revisar el pulso,tomar bebidas azucaradas,consultar a un médico
Acné,bañarse dos veces al día,evitar alimentos grasos y picantes,beber abundante agua,evitar usar demasiados productos
Diabetes,mantener una dieta balanceada,hacer ejercicio,consultar a un médico,realizar seguimiento médico
Impétigo,remojar la zona afectada en agua tibia,usar antibióticos,retirar costras con paño húmedo comprimido,consultar a un médico
Hipertensión,practicar meditación,tomar baños con sal,reducir el estrés,dormir adecuadamente
Úlcera péptica,evitar alimentos grasos y picantes,consumir alimentos probióticos,eliminar la leche,limitar el consumo de alcohol
Hemorroides,evitar alimentos grasos y picantes,usar hamamelis,baño tibio con sal de Epsom,consumir jugo de aloe vera
Resfriado común,tomar bebidas ricas en vitamina C,realizar inhalación de vapor,evitar alimentos fríos,controlar la fiebre
Varicela,usar neem en el baño,consumir hojas de neem,vacunarse,evitar lugares públicos
Espondilosis cervical,usar almohadilla térmica o compresa fría,hacer ejercicio,tomar analgésico de venta libre,consultar a un médico
Hipertiroidismo,alimentarse saludablemente,realizar masajes,usar toronjil,seguir tratamiento con yodo radioactivo
Infección urinaria,beber abundante agua,aumentar la ingesta de vitamina C,beber jugo de arándano,tomar probióticos
Várices,recostarse y elevar la pierna,usar ungüentos,usar compresión venosa,no permanecer de pie por mucho tiempo
SIDA,evitar heridas abiertas,usar equipo de protección personal si es posible,consultar a un médico,realizar seguimiento médico
Parálisis por hemorragia cerebral,realizar masajes,alimentarse saludablemente,hacer ejercicio,consultar a un médico
Fiebre tifoidea,comer vegetales altos en calorías,seguir terapia antibiótica,consultar a un médico,seguir medicación indicada
Hepatitis B,consultar al hospital más cercano,vacunación,alimentarse saludablemente,seguir medicación indicada
Infección fúngica,bañarse dos veces al día,usar antiséptico o neem en el agua de baño,mantener seca la zona infectada,usar paños limpios
Hepatitis C,consultar al hospital más cercano,vacunación,alimentarse saludablemente,seguir medicación indicada
Migraña,practicar meditación,reducir el estrés,usar lentes polarizados al sol,consultar a un médico
Asma bronquial,usar ropa suelta,respirar profundamente,alejarse del desencadenante,buscar ayuda médica
Hepatitis alcohólica,suspender el consumo de alcohol,consultar a un médico,seguir medicación indicada,realizar seguimiento médico
Ictericia,beber abundante agua,consumir cardo mariano,comer frutas y alimentos ricos en fibra,seguir medicación indicada
Hepatitis E,suspender el consumo de alcohol,descansar,consultar a un médico,seguir medicación indicada
Dengue,beber jugo de hoja de papaya,evitar alimentos grasos y picantes,mantener alejados a los mosquitos,mantenerse hidratado
Hepatitis D,consultar a un médico,seguir medicación indicada,alimentarse saludablemente,realizar seguimiento médico
Infarto cardíaco,llamar a una ambulancia,masticar o tragar aspirina,mantener la calma,
Neumonía,consultar a un médico,seguir medicación indicada,descansar,realizar seguimiento médico
Artritis,hacer ejercicio,usar terapia de calor y frío,probar acupuntura,realizar masajes
Gastroenteritis,dejar de comer sólidos temporalmente,tomar pequeños sorbos de agua,descansar,retomar la alimentación gradualmente
Tuberculosis,cubrirse la boca,consultar a un médico,seguir medicación indicada,descansar
