Enfermedad,Sintoma_1,Sintoma_2,Sintoma_3,Sintoma_4,Sintoma_5,Sintoma_6,Sintoma_7,Sintoma_8,Sintoma_9,Sintoma_10,Sintoma_11,Sintoma_12,Sintoma_13,Sintoma_14,Sintoma_15,Sintoma_16,Sintoma_17
Infección fúngica,picazón,erupción en la piel,erupciones nodulares en la piel,manchas discrómicas,,,,,,,,,,,,,
Infección fúngica,erupción en la piel,erupciones nodulares en la piel,manchas discrómicas,,,,,,,,,,,,,,
Infección fúngica,picazón,erupciones nodulares en la piel,manchas discrómicas,,,,,,,,,,,,,,
Infección fúngica,picazón,erupción en la piel,manchas discrómicas,,,,,,,,,,,,,,
Infección fúngica,picazón,erupción en la piel,erupciones nodulares en la piel,,,,,,,,,,,,,,
Infección fúngica,erupción en la piel,erupciones nodulares en la piel,manchas discrómicas,,,,,,,,,,,,,,
Infección fúngica,picazón,erupciones nodulares en la piel,manchas discrómicas,,,,,,,,,,,,,,
Infección fúngica,picazón,erupción en la piel,manchas discrómicas,,,,,,,,,,,,,,
Infección fúngica,picazón,erupción en la piel,erupciones nodulares en la piel,,,,,,,,,,,,,,
Infección fúngica,picazón,erupción en la piel,erupciones nodulares en la piel,manchas discrómicas,,,,,,,,,,,,,
Alergia,estornudos continuos,temblores,escalofríos,lagrimeo,,,,,,,,,,,,,
Alergia,temblores,escalofríos,lagrimeo,,,,,,,,,,,,,,
Alergia,estornudos continuos,escalofríos,lagrimeo,,,,,,,,,,,,,,
Alergia,estornudos continuos,temblores,lagrimeo,,,,,,,,,,,,,,
Alergia,estornudos continuos,temblores,escalofríos,,,,,,,,,,,,,,
Alergia,temblores,escalofríos,lagrimeo,,,,,,,,,,,,,,
Alergia,estornudos continuos,escalofríos,lagrimeo,,,,,,,,,,,,,,
Alergia,estornudos continuos,temblores,lagrimeo,,,,,,,,,,,,,,
Alergia,estornudos continuos,temblores,escalofríos,,,,,,,,,,,,,,
Alergia,estornudos continuos,temblores,escalofríos,lagrimeo,,,,,,,,,,,,,
Enfermedad por reflujo gastroesofágico,dolor de estómago,acidez,úlceras en la lengua,vómitos,tos,dolor en el pecho,,,,,,,,,,,
Enfermedad por reflujo gastroesofágico,dolor de estómago,úlceras en la lengua,vómitos,tos,dolor en el pecho,,,,,,,,,,,,
Enfermedad por reflujo gastroesofágico,dolor de estómago,acidez,vómitos,tos,dolor en el pecho,,,,,,,,,,,,
Enfermedad por reflujo gastroesofágico,dolor de estómago,acidez,úlceras en la lengua,tos,dolor en el pecho,,,,,,,,,,,,
Enfermedad por reflujo gastroesofágico,dolor de estómago,acidez,úlceras en la lengua,vómitos,dolor en el pecho,,,,,,,,,,,,
Enfermedad por reflujo gastroesofágico,dolor de estómago,acidez,úlceras en la lengua,vómitos,tos,,,,,,,,,,,,
Enfermedad por reflujo gastroesofágico,acidez,úlceras en la lengua,vómitos,tos,dolor en el pecho,,,,,,,,,,,,
Enfermedad por reflujo gastroesofágico,dolor de estómago,úlceras en la lengua,vómitos,tos,dolor en el pecho,,,,,,,,,,,,
Enfermedad por reflujo gastroesofágico,dolor de estómago,acidez,vómitos,tos,dolor en el pecho,,,,,,,,,,,,
Enfermedad por reflujo gastroesofágico,dolor de estómago,acidez,úlceras en la lengua,tos,dolor en el pecho,,,,,,,,,,,,
Colestasis crónica,picazón,vómitos,piel amarillenta,náuseas,pérdida de apetito,dolor abdominal,coloración amarilla de los ojos,,,,,,,,,,
Colestasis crónica,vómitos,piel amarillenta,náuseas,pérdida de apetito,dolor abdominal,coloración amarilla de los ojos,,,,,,,,,,,
Colestasis crónica,picazón,piel amarillenta,náuseas,pérdida de apetito,dolor abdominal,coloración amarilla de los ojos,,,,,,,,,,,
Colestasis crónica,picazón,vómitos,náuseas,pérdida de apetito,dolor abdominal,coloración amarilla de los ojos,,,,,,,,,,,
Colestasis crónica,picazón,vómitos,piel amarillenta,pérdida de apetito,dolor abdominal,coloración amarilla de los ojos,,,,,,,,,,,
Colestasis crónica,picazón,vómitos,piel amarillenta,náuseas,dolor abdominal,coloración amarilla de los ojos,,,,,,,,,,,
Colestasis crónica,picazón,vómitos,piel amarillenta,náuseas,pérdida de apetito,coloración amarilla de los ojos,,,,,,,,,,,
Colestasis crónica,picazón,vómitos,piel amarillenta,náuseas,pérdida de apetito,dolor abdominal,,,,,,,,,,,
Colestasis crónica,picazón,vómitos,piel amarillenta,náuseas,pérdida de apetito,dolor abdominal,coloración amarilla de los ojos,,,,,,,,,,
Colestasis crónica,picazón,vómitos,piel amarillenta,náuseas,pérdida de apetito,dolor abdominal,coloración amarilla de los ojos,,,,,,,,,,
Reacción a medicamentos,picazón,erupción en la piel,dolor de estómago,ardor al orinar,manchado al orinar,,,,,,,,,,,,
Reacción a medicamentos,picazón,dolor de estómago,ardor al orinar,manchado al orinar,,,,,,,,,,,,,
Reacción a medicamentos,picazón,erupción en la piel,ardor al orinar,manchado al orinar,,,,,,,,,,,,,
Reacción a medicamentos,picazón,erupción en la piel,dolor de estómago,manchado al orinar,,,,,,,,,,,,,
Reacción a medicamentos,picazón,erupción en la piel,dolor de estómago,ardor al orinar,,,,,,,,,,,,,
Reacción a medicamentos,erupción en la piel,dolor de estómago,ardor al orinar,manchado al orinar,,,,,,,,,,,,,
Reacción a medicamentos,picazón,dolor de estómago,ardor al orinar,manchado al orinar,,,,,,,,,,,,,
Reacción a medicamentos,picazón,erupción en la piel,ardor al orinar,manchado al orinar,,,,,,,,,,,,,
Reacción a medicamentos,picazón,erupción en la piel,dolor de estómago,manchado al orinar,,,,,,,,,,,,,
Reacción a medicamentos,picazón,erupción en la piel,dolor de estómago,ardor al orinar,,,,,,,,,,,,,
Úlcera péptica,vómitos,pérdida de apetito,dolor abdominal,expulsión de gases,picazón interna,,,,,,,,,,,,
Úlcera péptica,vómitos,indigestión,dolor abdominal,expulsión de gases,picazón interna,,,,,,,,,,,,
Úlcera péptica,indigestión,pérdida de apetito,dolor abdominal,expulsión de gases,picazón interna,,,,,,,,,,,,
Úlcera péptica,vómitos,pérdida de apetito,dolor abdominal,expulsión de gases,picazón interna,,,,,,,,,,,,
Úlcera péptica,vómitos,indigestión,dolor abdominal,expulsión de gases,picazón interna,,,,,,,,,,,,
Úlcera péptica,vómitos,indigestión,pérdida de apetito,expulsión de gases,picazón interna,,,,,,,,,,,,
Úlcera péptica,vómitos,indigestión,pérdida de apetito,dolor abdominal,picazón interna,,,,,,,,,,,,
Úlcera péptica,vómitos,indigestión,pérdida de apetito,dolor abdominal,expulsión de gases,,,,,,,,,,,,
Úlcera péptica,vómitos,indigestión,pérdida de apetito,dolor abdominal,expulsión de gases,picazón interna,,,,,,,,,,,
Úlcera péptica,vómitos,indigestión,pérdida de apetito,dolor abdominal,expulsión de gases,picazón interna,,,,,,,,,,,
SIDA,pérdida muscular,placas en la garganta,fiebre alta,contactos extramatrimoniales,,,,,,,,,,,,,
SIDA,placas en la garganta,fiebre alta,contactos extramatrimoniales,,,,,,,,,,,,,,
SIDA,pérdida muscular,fiebre alta,contactos extramatrimoniales,,,,,,,,,,,,,,
SIDA,pérdida muscular,placas en la garganta,contactos extramatrimoniales,,,,,,,,,,,,,,
SIDA,pérdida muscular,placas en la garganta,fiebre alta,,,,,,,,,,,,,,
SIDA,pérdida muscular,placas en la garganta,fiebre alta,contactos extramatrimoniales,,,,,,,,,,,,,
SIDA,pérdida muscular,placas en la garganta,fiebre alta,contactos extramatrimoniales,,,,,,,,,,,,,
SIDA,placas en la garganta,fiebre alta,contactos extramatrimoniales,,,,,,,,,,,,,,
SIDA,pérdida muscular,fiebre alta,contactos extramatrimoniales,,,,,,,,,,,,,,
SIDA,pérdida muscular,placas en la garganta,fiebre alta,,,,,,,,,,,,,,
Diabetes,fatiga,pérdida de peso,inquietud,letargo,nivel irregular de azúcar,visión borrosa y distorsionada,obesidad,hambre excesiva,aumento del apetito,poliuria,,,,,,,
Diabetes,fatiga,pérdida de peso,inquietud,letargo,nivel irregular de azúcar,visión borrosa y distorsionada,obesidad,hambre excesiva,aumento del apetito,poliuria,,,,,,,
Diabetes,pérdida de peso,inquietud,letargo,nivel irregular de azúcar,visión borrosa y distorsionada,obesidad,hambre excesiva,aumento del apetito,poliuria,,,,,,,,
Diabetes,fatiga,inquietud,letargo,nivel irregular de azúcar,visión borrosa y distorsionada,obesidad,hambre excesiva,aumento del apetito,poliuria,,,,,,,,
Diabetes,fatiga,pérdida de peso,letargo,nivel irregular de azúcar,visión borrosa y distorsionada,obesidad,hambre excesiva,aumento del apetito,poliuria,,,,,,,,
Diabetes,fatiga,pérdida de peso,inquietud,nivel irregular de azúcar,visión borrosa y distorsionada,obesidad,hambre excesiva,aumento del apetito,poliuria,,,,,,,,
Diabetes,fatiga,pérdida de peso,inquietud,letargo,visión borrosa y distorsionada,obesidad,hambre excesiva,aumento del apetito,poliuria,,,,,,,,
